FY,N0001911C0045_$M,N0001913C0132_$M,N0001918C1007_$M,N0001918C1061_$M,N0001921F0120_$M,N0001923C0013_$M,N0001924C0019_$M,N0002411C2307_$M,N0002411C2309_$M,N0002411C4408_$M,N0002412C5311_$M,N0002413C2305_$M,N0002413C2307_$M,N0002413C5116_$M,N0002413C5132_$M,N0002413C5314_$M,N0002413C5325_$M,N0002414C4313_$M,N0002414C5104_$M,N0002414C5106_$M,N0002414C5114_$M,N0002415C4103_$M,N0002415C5151_$M,N0002415C5228_$M,N0002415C5319_$M,N0002415C5332_$M,N0002416C5103_$M,N0002417C4109_$M,N0002418C2305_$M,N0002418C2307_$M,N0002419C2322_$M,N0002419C4452_$M,N0002419C5102_$M,N0002420C4400_$M,N0002420C4468_$M,N0002420C5105_$M,N0002420C5300_$M,N0002420C5310_$M,N0002420C5380_$M,N0002420C5519_$M,N0002420C5605_$M,N0002421C5393_$M,N0002422C4485_$M,N0002422C5500_$M,N0002423C2307_$M,N0002423C5325_$M,N0002424C5324_$M,N0017415C0009_$M,N0017419C0004_$M,N0025324F0016_$M,FY_TOTAL_$M,N0001911C0045_count,N0001913C0132_count,N0001918C1007_count,N0001918C1061_count,N0001921F0120_count,N0001923C0013_count,N0001924C0019_count,N0002411C2307_count,N0002411C2309_count,N0002411C4408_count,N0002412C5311_count,N0002413C2305_count,N0002413C2307_count,N0002413C5116_count,N0002413C5132_count,N0002413C5314_count,N0002413C5325_count,N0002414C4313_count,N0002414C5104_count,N0002414C5106_count,N0002414C5114_count,N0002415C4103_count,N0002415C5151_count,N0002415C5228_count,N0002415C5319_count,N0002415C5332_count,N0002416C5103_count,N0002417C4109_count,N0002418C2305_count,N0002418C2307_count,N0002419C2322_count,N0002419C4452_count,N0002419C5102_count,N0002420C4400_count,N0002420C4468_count,N0002420C5105_count,N0002420C5300_count,N0002420C5310_count,N0002420C5380_count,N0002420C5519_count,N0002420C5605_count,N0002421C5393_count,N0002422C4485_count,N0002422C5500_count,N0002423C2307_count,N0002423C5325_count,N0002424C5324_count,N0017415C0009_count,N0017419C0004_count,N0025324F0016_count
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0,0.0,0.0,0.0,1.58,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32,0.0,0.0,0.0,0.0,40.57,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,59.06,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,164,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,24.64,6.65,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,39.91,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,95,41,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,16.77,3.37,0.0,0.0,0.0,0.0,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,57.15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,81,37,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.48,0.56,0.0,9.63,0.0,0.89,24.72,0.8,2.16,0.06,4.46,0.0,8.22,0.3,1.0,0.0,0.73,0.98,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,2.45,0.0,0.0,59.66,0,0,0,0,0,0,0,5,0,5,6,0,29,0,8,103,5,3,1,26,0,20,2,9,0,10,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.83,1.35,0.0,0.0,36.85,0.0,6.56,7.1,6.4,24.1,0.69,18.94,56.91,3.45,0.13,2.1,0.0,1.75,3.03,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,5.49,0.0,0.0,182.3,0,0,0,0,0,0,0,23,29,15,0,0,214,0,42,38,23,30,10,96,306,19,2,10,0,17,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.45,0.0,0.05,0.22,19.17,0.0,0.0,24.4,3.61,29.92,2.64,19.59,184.05,11.01,2.78,15.23,0.0,424.58,103.3,0.13,0.0,502.44,0.0,0.0,38.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0,0.0,5.1,2.2,0.0,1397.13,0,0,0,0,0,0,0,12,4,0,1,1,175,0,0,88,18,29,12,157,351,31,16,60,0,109,81,3,0,494,0,0,35,0,0,0,0,0,0,0,0,0,0,11,0,0,0,50,16,0
2020,0.0,0.04,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.31,0.0,0.18,11.47,3.6,4.33,7.79,50.52,240.15,13.5,25.0,7.09,-0.0,702.28,264.66,2.4,0.0,158.99,0.0,0.05,74.17,0.96,0.05,18.63,0.0,254.41,52.28,0.0,44.46,0.0,0.0,11.6,0.0,0.0,0.0,3.08,7.56,0.0,1975.9,0,1,9,0,0,0,0,0,0,0,0,0,139,0,2,18,24,3,15,255,411,33,47,44,1,109,187,14,0,214,0,1,56,13,1,42,0,154,111,0,44,0,0,42,0,0,0,29,76,0
2021,0.0,0.16,1.53,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,14.53,556.1,1.29,0.04,1.12,0.0,16.04,9.77,127.77,4.84,54.43,7.96,-0.0,370.86,95.52,0.9,0.0,137.67,4.44,0.06,258.98,29.52,29.74,127.67,0.04,1047.22,66.86,0.3,18.95,0.0,0.0,104.17,0.0,0.0,0.0,0.37,7.48,0.0,3101.36,0,2,7,1,0,0,0,0,0,0,0,2,125,133,2,1,14,0,15,69,238,16,43,36,1,66,91,6,0,298,14,1,106,92,99,120,1,231,165,4,45,0,0,42,0,0,0,4,70,0
